ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",6,18 to 24 Years,6042,2014,15122,1099,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0998877072,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",3,5 to 17 Years,6042,2014,27364,1081,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.1807517009,,,,,,
3,Foreign Born,0,Under 5 Years,2014,2014,111,91,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0007332056,,,,,,
3,Foreign Born,1,5 to 17 Years,2014,2014,2109,430,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0139309069,,,,,,
3,Foreign Born,2,18 to 24 Years,2014,2014,2481,368,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0163881366,,,,,,
3,Foreign Born,3,25 to 34 Years,2014,2014,6139,492,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.040550895,,,,,,
3,Foreign Born,4,35 to 44 Years,2014,2014,6646,393,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0438998613,,,,,,
3,Foreign Born,5,45 to 54 Years,2014,2014,5745,416,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0379483453,,,,,,
3,Foreign Born,6,55 to 59 Years,2014,2014,2363,289,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0156086928,,,,,,
3,Foreign Born,7,60 & 61 Years,2014,2014,568,165,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0037518991,,,,,,
3,Foreign Born,8,62 to 64 Years,2014,2014,778,181,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0051390449,,,,,,
3,Foreign Born,9,65 to 74 Years,2014,2014,1684,219,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0111235881,,,,,,
3,Foreign Born,10,75 Years & Over,2014,2014,1017,162,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0067177489,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,65 to 74 Years,6039,2013,5628,498,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0370736335,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",6,18 to 24 Years,6039,2013,14415,1158,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0949567211,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",3,5 to 17 Years,6039,2013,27211,1063,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.1792485146,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,Under 5 Years,6039,2013,12634,463,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.083224642,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",21,60 & 61 Years,6039,2013,1900,397,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0125159743,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",12,35 to 44 Years,6039,2013,14847,1128,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0978024584,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",24,62 to 64 Years,6039,2013,2251,477,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0148281359,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,55 to 59 Years,6039,2013,5229,690,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0344452788,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",9,25 to 34 Years,6039,2013,18713,1175,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.1232691725,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",30,75 Years & Over,6039,2013,4377,486,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0288328525,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",15,45 to 54 Years,6039,2013,14081,829,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0927565445,,,,,,
3,Foreign Born,3,25 to 34 Years,2013,2013,6278,517,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0413554141,,,,,,
3,Foreign Born,4,35 to 44 Years,2013,2013,6959,444,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0458414028,,,,,,
3,Foreign Born,5,45 to 54 Years,2013,2013,5638,380,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.037139507,,,,,,
3,Foreign Born,6,55 to 59 Years,2013,2013,2321,301,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0152892508,,,,,,
3,Foreign Born,7,60 & 61 Years,2013,2013,614,159,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0040446359,,,,,,
3,Foreign Born,8,62 to 64 Years,2013,2013,786,201,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.005177661,,,,,,
3,Foreign Born,0,Under 5 Years,2013,2013,80,73,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0005269884,,,,,,
3,Foreign Born,9,65 to 74 Years,2013,2013,1578,231,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0103948461,,,,,,
3,Foreign Born,1,5 to 17 Years,2013,2013,2225,463,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0146568647,,,,,,
3,Foreign Born,10,75 Years & Over,2013,2013,907,140,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0059747309,,,,,,
3,Foreign Born,2,18 to 24 Years,2013,2013,3134,409,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0206447703,,,,,,
